114709,198781,120363,120623,435761,266543,382932,317705,268380,1049413,126029,2380307,120587,131409,892769,2948356,110357,1979376,1490017,1772341,4468740,3606756,72410,317219,1620446,129167,1453405,103639,1245104,248808
113497,97523,120751,477347,118755,416236,406375,102057,107290,54594,2386490,4701182,5884052,6139732,111070,72951,3040964,61715,344854,1051904,373051,122718,110989,233044,106965,808510,88760,120616,116136,219854
113228,109439,107050,290002,116240,110442,57518,98966,2283362,337579,94678,110613,97778,113041,3760922,78790,93857,1618434,89670,2854926,100994,91326,6791096,119109,106292,102719,100050,144528,3104988,119142
114885,116313,120703,245407,113347,107613,113851,160916,1001508,906108,119738,91188,879870,117057,328589,6791096,422093,250274,166252,89643,280460,337741,6911608,168501,1621045,139462,5719700,437777,103251,112571
113041,101862,3760922,113228,98966,109439,113986,110613,97778,290002,100050,96094,57518,279889,42451,2387559,119142,94137,259446,112606,6791096,94678,480242,116240,104452,162983,98471,452598,970866,1473832
113277,840361,369339,407887,338564,68638,62765,1855199,3397884,780504,2625030,86250,23427,110413,97202,102592,105236,2582782,106519,456912,202677,99685,3890160,67116,119396,66999,105695,139654,427470,272207
114319,47437,113117,110391,101912,117057,337741,99699,481141,115644,128853,93886,113097,50105,108160,119734,97116,118556,120703,119738,119141,110099,240890,114887,50658,832266,108451,125439,100405,117979
112302,106223,311289,115472,1196141,112435,106868,123987,36182,90848,1650043,5028340,113419,53571,86066,93036,93744,118755,489237,110213,252501,110763,108333,114345,28988,83717,117071,111359,116583,283084
114576,105104,114781,105690,109676,115759,117011,2302755,100232,116213,107076,111255,2679042,106582,3300542,119123,293662,1160368,2334879,111400,116320,233469,105698,471041,116253,112401,242445,118571,308208,306685
113189,120347,143145,93428,76752,82398,246460,830515,97742,90264,57076,59800,2379713,71807,66995,62512,86034,1074638,55928,58150,64757,70328,381061,86006,79574,2381249,120053,317919,117060,1229238
112346,106673,111256,108160,118055,70903,208874,76095,39370,832266,1027862,110099,125439,100405,337741,122459,110167,115644,128853,117979,51745,114319,6294822,117247,113448,207201,114924,1441952,483726,480242
112896,120901,107977,107659,102059,90196,1470023,106873,84786,100475,306047,424823,116126,107144,240468,2398249,117723,82146,84938,119053,120741,102510,279493,115683,120770,119887,118708,250310,457510,131857
112453,57180,95776,55254,107131,328880,2709768,115433,48280,397892,82406,96787,220099,97050,113089,120855,65421,110305,299172,1107365,71206,120800,41890,91149,76618,431213,114148,62793,118787,323642
113987,1175491,870111,3791216,1848902,1000771,1619029,102138,1020072,455590,119942,104797,1616195,6266538,443272,1742683,433383,140352,1327773,74119,436697,104427,3203606,1013753,3859076,84335,125664,41113,1007029,91886
112760,277296,120746,91055,120616,383574,1790809,386140,327850,1365519,473075,209163,1509767,318649,108333,146316,1298650,325980,5758778,109676,368891,325703,449088,4881806,190865,367882,1424310,2231461,4779682,102798
112641,99685,86250,106519,119008,407887,119396,105236,23427,765429,108399,1416801,203119,94226,100685,68646,110912,128442,1600196,375912,114660,70379,113277,100150,1800241,2625030,71532,765443,208092,29870
